Date,Beach,Attendance
2018-08-19,Coney Island Beach,25250
2022-05-31,Rockaway Beach,6400
2022-06-22,Wolfe's Pond Beach,8
2022-07-23,Manhattan Beach,10500
2022-07-19,Orchard Beach,4010
2023-05-28,Cedar Grove Beach,323
2024-06-06,Coney Island Beach,6500
2019-07-20,Manhattan Beach,7800
2020-05-24,Cedar Grove Beach,60
2020-06-25,Rockaway Beach,23500
2020-07-17,Wolfe's Pond Beach,160
2020-07-24,Coney Island Beach,900
2020-08-13,Orchard Beach,1476
2024-09-12,Midland Beach,250
2017-07-21,Coney Island Beach,235000
2018-08-12,Wolfe's Pond Beach,320
2021-06-24,Manhattan Beach,1050
2021-09-09,Midland Beach,735
2023-07-21,Wolfe's Pond Beach,162
2024-06-26,Orchard Beach,15250
2017-05-30,South Beach,475
2018-06-16,Cedar Grove Beach,185
2018-06-21,Manhattan Beach,500
2019-05-28,Rockaway Beach,700
2019-06-26,Coney Island Beach,55500
2021-08-15,Wolfe's Pond Beach,3500
2021-09-11,Orchard Beach,35800
2023-05-30,Manhattan Beach,350
2023-08-15,Midland Beach,975
2023-08-22,South Beach,1340
2024-09-07,Cedar Grove Beach,0
2017-06-23,Midland Beach,350
2019-09-07,Orchard Beach,1650
2020-06-18,Rockaway Beach,3300
2020-07-10,Wolfe's Pond Beach,0
2022-06-25,Cedar Grove Beach,557
2022-06-20,Manhattan Beach,600
2018-07-14,Rockaway Beach,44000
2018-08-12,Cedar Grove Beach,480
2019-06-17,Manhattan Beach,150
2023-07-31,Coney Island Beach,25000
2023-06-22,Rockaway Beach,3150
2023-07-14,Wolfe's Pond Beach,145
2024-05-25,Manhattan Beach,1800
2024-05-30,Cedar Grove Beach,0
2017-08-02,South Beach,750
2021-08-08,Wolfe's Pond Beach,2400
2024-09-03,South Beach,450
2017-06-15,Rockaway Beach,8200
2017-07-09,Manhattan Beach,2200
2017-07-14,Cedar Grove Beach,225
2018-05-27,Orchard Beach,700
2019-09-03,Wolfe's Pond Beach,0
2021-06-15,South Beach,1400
2022-07-02,Coney Island Beach,27650
2024-08-11,Wolfe's Pond Beach,650
2024-07-22,Midland Beach,750
2017-09-06,Rockaway Beach,3300
2018-06-09,Coney Island Beach,127500
2019-06-19,Cedar Grove Beach,0
2020-06-29,Midland Beach,1800
2022-08-15,Rockaway Beach,6500
2019-06-25,Orchard Beach,45
2020-06-03,Orchard Beach,784
2022-06-04,Midland Beach,5100
2017-07-20,Orchard Beach,46200
2019-06-01,Midland Beach,6400
2021-07-17,Rockaway Beach,39700
2023-06-07,Orchard Beach,455
2024-08-07,Manhattan Beach,85
2019-08-12,Rockaway Beach,6200
2021-07-02,Orchard Beach,470
2024-08-28,Coney Island Beach,21000
2017-07-24,South Beach,410
2018-07-13,Midland Beach,3600
2018-08-18,Orchard Beach,15300
2019-06-21,Wolfe's Pond Beach,27
2020-08-05,Coney Island Beach,17000
2022-07-02,South Beach,1900
2022-08-30,Manhattan Beach,700
2022-09-04,Cedar Grove Beach,385
2023-06-21,Midland Beach,245
2024-07-05,Orchard Beach,4900
2017-06-24,Rockaway Beach,89500
2017-07-16,Wolfe's Pond Beach,190
2017-08-02,Coney Island Beach,17500
2019-08-27,Manhattan Beach,250
2019-09-01,Cedar Grove Beach,110
2020-06-17,Midland Beach,850
2020-07-27,South Beach,2550
2022-07-11,Coney Island Beach,60389
2022-07-31,Orchard Beach,53100
2024-08-09,Cedar Grove Beach,55
2017-06-14,Midland Beach,375
2018-08-22,South Beach,1600
2019-07-08,Coney Island Beach,6600
2020-07-19,Wolfe's Pond Beach,1500
2020-08-25,Orchard Beach,4878
2021-08-01,Manhattan Beach,1500
2021-08-06,Cedar Grove Beach,300
2024-07-23,Rockaway Beach,7000
2018-07-29,Manhattan Beach,4000
2018-08-03,Cedar Grove Beach,80
2018-08-14,Wolfe's Pond Beach,2395
2021-06-12,Coney Island Beach,42500
2021-08-25,South Beach,3700
2023-08-29,Orchard Beach,700
2023-07-07,Manhattan Beach,3300
2023-07-12,Cedar Grove Beach,219
2024-06-01,Wolfe's Pond Beach,7500
2020-07-03,Manhattan Beach,1350
2020-07-08,Cedar Grove Beach,125
2022-06-05,Rockaway Beach,32500
2022-06-27,Wolfe's Pond Beach,10
2023-08-12,Coney Island Beach,78500
2017-06-30,Manhattan Beach,1250
2017-09-05,Midland Beach,425
2018-05-31,South Beach,420
2020-06-30,Rockaway Beach,7300
2022-06-13,Cedar Grove Beach,30
2022-06-08,Manhattan Beach,650
2022-08-14,Midland Beach,3000
2024-08-22,South Beach,1350
2019-06-05,Manhattan Beach,350
2019-06-10,Cedar Grove Beach,55
2019-08-11,Midland Beach,8700
2021-06-03,South Beach,185
2021-09-03,Coney Island Beach,28500
2023-07-26,Wolfe's Pond Beach,189
2018-08-31,Coney Island Beach,16500
2019-06-02,Rockaway Beach,45000
2019-06-29,South Beach,3800
2021-07-16,Midland Beach,3700
2021-08-20,Wolfe's Pond Beach,675
2024-06-18,Coney Island Beach,3850
2017-07-02,Cedar Grove Beach,540
2018-06-08,Orchard Beach,4350
2020-05-26,Coney Island Beach,1579
2021-06-27,South Beach,12775
2021-08-25,Manhattan Beach,2800
2024-07-10,Midland Beach,700
2019-05-31,Wolfe's Pond Beach,125
2020-08-27,Midland Beach,1550
2023-07-31,Manhattan Beach,2100
2017-08-24,Midland Beach,1250
2019-07-07,Orchard Beach,67300
2020-07-27,Manhattan Beach,4500
2020-08-19,Rockaway Beach,1100
2022-06-03,Wolfe's Pond Beach,73
2022-07-26,South Beach,750
2023-06-12,Midland Beach,527
2023-06-05,South Beach,550
2017-08-01,Orchard Beach,1400
2019-07-30,Midland Beach,1450
2020-06-28,Wolfe's Pond Beach,500
2020-08-20,South Beach,3000
2022-07-02,Manhattan Beach,3200
2023-06-19,Orchard Beach,17300
2023-08-23,Rockaway Beach,18000
2024-07-31,Cedar Grove Beach,125
2018-06-21,South Beach,1700
2018-07-02,Rockaway Beach,10000
2018-07-24,Wolfe's Pond Beach,110
2018-08-19,Manhattan Beach,400
2021-07-14,Orchard Beach,925
2022-07-23,Coney Island Beach,303500
2023-07-02,Wolfe's Pond Beach,280
2024-09-12,South Beach,400
2024-06-06,Manhattan Beach,325
2018-08-30,Orchard Beach,11000
2019-07-20,Coney Island Beach,135000
2021-06-03,Manhattan Beach,125
2021-07-05,Rockaway Beach,140000
2021-07-27,Wolfe's Pond Beach,2000
2022-08-23,Cedar Grove Beach,130
2023-09-03,Midland Beach,3503
2024-06-27,Coney Island Beach,26500
2024-07-17,Orchard Beach,9500
2017-06-03,Rockaway Beach,8400
2017-07-21,Manhattan Beach,7000
2019-08-20,Cedar Grove Beach,165
2019-08-22,Wolfe's Pond Beach,170
2020-05-29,South Beach,640
2021-06-24,Coney Island Beach,6500
2022-08-12,Orchard Beach,6300
2017-08-11,Coney Island Beach,83000
2017-08-14,South Beach,400
2019-06-26,Manhattan Beach,1700
2020-06-06,Rockaway Beach,65200
2020-09-06,Orchard Beach,61200
2021-07-25,Cedar Grove Beach,110
2022-08-05,Midland Beach,250
2022-08-25,Wolfe's Pond Beach,210
2023-05-30,Coney Island Beach,6850
2018-07-22,Cedar Grove Beach,250
2020-08-28,Rockaway Beach,27500
2021-09-06,South Beach,12275
2023-09-10,Orchard Beach,480
2023-06-30,Cedar Grove Beach,334
2018-05-28,Manhattan Beach,3000
2020-06-26,Cedar Grove Beach,220
2024-07-11,Rockaway Beach,18000
2017-06-23,Cedar Grove Beach,16
2019-07-31,Rockaway Beach,2700
2022-06-01,Cedar Grove Beach,32
2023-08-21,Coney Island Beach,21200
2023-08-22,Midland Beach,985
2023-08-15,South Beach,1427
2017-08-25,Rockaway Beach,135000
2019-05-29,Cedar Grove Beach,60
2019-06-09,Wolfe's Pond Beach,660
2020-08-17,Coney Island Beach,17000
2020-08-18,Midland Beach,700
2022-09-11,Manhattan Beach,175
2023-06-13,Rockaway Beach,12700
2017-07-04,Wolfe's Pond Beach,115
2019-07-11,South Beach,2700
2019-09-08,Manhattan Beach,300
2020-06-24,Orchard Beach,4731
2021-07-04,Midland Beach,12842
2023-09-04,Rockaway Beach,150000
2024-08-16,Manhattan Beach,700
2018-06-20,Orchard Beach,3350
2018-06-30,Coney Island Beach,225000
2018-07-01,Midland Beach,11500
2021-08-13,Manhattan Beach,4000
2022-07-14,South Beach,1200
2018-08-02,Wolfe's Pond Beach,105
2018-08-10,Manhattan Beach,1500
2020-06-05,Midland Beach,335
2020-08-08,South Beach,3100
2022-06-02,Orchard Beach,900
2022-08-06,Rockaway Beach,130000
2023-07-19,Manhattan Beach,1050
2017-06-01,Coney Island Beach,8000
2017-06-02,Midland Beach,350
2019-07-19,Orchard Beach,4030
2020-07-15,Manhattan Beach,900
2022-06-15,Wolfe's Pond Beach,90
2022-08-14,Cedar Grove Beach,550
2024-06-21,South Beach,1170
2017-08-13,Orchard Beach,1150
2018-06-16,Wolfe's Pond Beach,750
2019-07-18,Midland Beach,575
2020-05-31,Cedar Grove Beach,140
2023-07-01,Orchard Beach,27800
2024-07-09,Coney Island Beach,4000
2024-07-14,Manhattan Beach,2600
2021-06-19,Wolfe's Pond Beach,5000
2021-07-06,Coney Island Beach,131375
2021-07-11,Manhattan Beach,1600
2024-07-15,South Beach,1100
2017-08-23,Coney Island Beach,22500
2017-08-28,Manhattan Beach,260
2018-06-19,Midland Beach,1580
2019-07-15,Wolfe's Pond Beach,150
2022-09-08,Rockaway Beach,10200
2023-06-11,Coney Island Beach,100000
2023-06-16,Manhattan Beach,200
2024-07-29,Orchard Beach,850
2017-08-09,Wolfe's Pond Beach,115
2019-08-03,Manhattan Beach,6000
2020-05-24,Midland Beach,975
2020-06-07,Coney Island Beach,77000
2022-07-18,Wolfe's Pond Beach,180
2022-08-24,Orchard Beach,2200
2017-08-26,South Beach,6300
2020-07-21,Rockaway Beach,14300
2020-08-12,Wolfe's Pond Beach,250
2022-07-24,Midland Beach,3350
2023-08-17,Cedar Grove Beach,29
2017-05-31,Orchard Beach,450
2018-07-05,Manhattan Beach,1900
2018-08-16,Rockaway Beach,26500
2023-09-02,Coney Island Beach,76000
2024-06-28,Midland Beach,890
2024-06-03,Rockaway Beach,17500
2019-06-23,Rockaway Beach,232000
2020-06-09,Manhattan Beach,1250
2020-08-29,Coney Island Beach,3700
2021-06-25,Midland Beach,1620
2021-09-08,Cedar Grove Beach,0
2021-09-10,Wolfe's Pond Beach,0
2017-06-06,Manhattan Beach,175
2017-07-18,Rockaway Beach,47500
2017-08-12,Midland Beach,5500
2018-06-29,Orchard Beach,11451
2022-08-04,Coney Island Beach,25000
2022-08-07,South Beach,3050
2023-05-31,Midland Beach,365
2023-06-17,South Beach,2182
2024-06-23,Cedar Grove Beach,756
2017-05-27,Wolfe's Pond Beach,175
2018-07-12,Coney Island Beach,50500
2020-06-07,South Beach,5000
2020-08-06,Midland Beach,1855
2020-08-10,Cedar Grove Beach,350
2022-06-11,Orchard Beach,1300
2023-07-28,Rockaway Beach,128000
2017-08-07,Cedar Grove Beach,25
2018-07-03,South Beach,9100
2020-06-16,Coney Island Beach,11280
2020-07-06,Orchard Beach,7817
2021-08-22,Rockaway Beach,0
2022-07-16,Cedar Grove Beach,140
2022-07-12,Midland Beach,800
2017-06-13,Coney Island Beach,76000
2017-08-22,Orchard Beach,28550
2018-06-25,Wolfe's Pond Beach,140
2019-07-09,Midland Beach,950
2019-07-13,Cedar Grove Beach,390
2022-06-29,Rockaway Beach,6900
2023-08-26,Manhattan Beach,3200
2024-06-16,Midland Beach,1900
2019-08-01,South Beach,2275
2020-08-22,Manhattan Beach,4000
2021-06-13,Midland Beach,1220
2021-06-17,Cedar Grove Beach,90
2021-08-04,Orchard Beach,2700
2018-06-14,Cedar Grove Beach,175
2019-07-31,Orchard Beach,1250
2020-06-02,Wolfe's Pond Beach,55
2022-07-28,Manhattan Beach,1550
2024-07-03,South Beach,1750
2017-08-18,Wolfe's Pond Beach,440
2017-09-04,Coney Island Beach,16000
2018-06-06,Rockaway Beach,7000
2019-07-25,Manhattan Beach,1300
2023-07-13,Orchard Beach,12300
2023-06-23,Coney Island Beach,6500
2023-06-06,Wolfe's Pond Beach,2
2024-07-02,Manhattan Beach,700
2024-09-07,Midland Beach,1110
2019-08-10,Coney Island Beach,93000
2021-06-29,Manhattan Beach,4500
2021-07-01,Wolfe's Pond Beach,200
2021-09-04,Midland Beach,3210
2024-08-25,Rockaway Beach,36000
2017-06-04,South Beach,950
2017-08-16,Manhattan Beach,1400
2019-07-27,Wolfe's Pond Beach,610
2023-06-04,Manhattan Beach,700
2023-08-10,Midland Beach,335
2023-08-27,South Beach,2870
2024-07-04,Wolfe's Pond Beach,7500
2024-08-10,Orchard Beach,36000
2024-09-02,Cedar Grove Beach,500
2019-06-03,South Beach,800
2019-08-24,Rockaway Beach,75000
2021-08-30,Cedar Grove Beach,55
2024-08-23,Wolfe's Pond Beach,250
2024-08-01,Rockaway Beach,24500
2022-06-06,South Beach,725
2022-08-27,Rockaway Beach,35000
2023-08-05,Cedar Grove Beach,328
2017-06-12,Orchard Beach,8500
2018-07-26,Rockaway Beach,8000
2020-07-01,South Beach,4600
2022-08-16,Coney Island Beach,4400
2022-08-21,Manhattan Beach,3300
2023-07-04,Rockaway Beach,145000
2018-06-04,Wolfe's Pond Beach,75
2018-07-27,South Beach,5400
2021-07-29,Rockaway Beach,4000
2021-08-23,Midland Beach,0
2022-07-07,Cedar Grove Beach,115
2024-07-21,Coney Island Beach,74500
2024-07-26,Manhattan Beach,800
2017-07-31,Midland Beach,13700
2018-07-11,Orchard Beach,1200
2018-08-24,Cedar Grove Beach,330
2020-06-28,Coney Island Beach,156500
2021-06-07,Wolfe's Pond Beach,5000
2024-06-11,Cedar Grove Beach,150
2024-05-28,Orchard Beach,1000
2017-06-25,Coney Island Beach,305000
2017-09-09,Manhattan Beach,800
2019-06-11,Rockaway Beach,13000
2019-07-03,Wolfe's Pond Beach,150
2020-07-29,Cedar Grove Beach,350
2022-06-03,Coney Island Beach,2600
2022-06-23,Orchard Beach,655
2023-06-28,Manhattan Beach,1200
2017-07-26,Cedar Grove Beach,35
2017-07-28,Wolfe's Pond Beach,190
2019-05-31,Coney Island Beach,73500
2019-08-09,Orchard Beach,5500
2019-08-15,Manhattan Beach,600
2020-07-18,Orchard Beach,35905
2024-07-27,South Beach,3650
2017-09-03,Orchard Beach,93500
2018-06-07,Midland Beach,670
2019-07-01,Cedar Grove Beach,270
2020-07-31,Wolfe's Pond Beach,115
2021-07-20,Manhattan Beach,4000
2023-07-22,Orchard Beach,42500
2024-08-29,Midland Beach,450
2018-07-17,Manhattan Beach,615
2018-08-04,Rockaway Beach,19500
2018-08-26,Wolfe's Pond Beach,750
2019-08-13,South Beach,1050
2021-06-01,Midland Beach,525
2021-06-05,Cedar Grove Beach,200
2021-08-16,Orchard Beach,57000
2023-07-05,Coney Island Beach,50000
2024-06-13,Wolfe's Pond Beach,850
2017-09-07,South Beach,900
2018-05-29,Midland Beach,1200
2018-06-02,Cedar Grove Beach,40
2019-08-22,Coney Island Beach,14000
2020-06-21,Manhattan Beach,2000
2021-08-29,Wolfe's Pond Beach,1400
2022-06-17,Rockaway Beach,5000
2017-06-18,Manhattan Beach,1250
2017-07-06,Rockaway Beach,4200
2021-07-27,Coney Island Beach,46125
2018-07-24,Coney Island Beach,3300
2023-08-07,Wolfe's Pond Beach,66
2017-06-16,South Beach,350
2018-08-20,Midland Beach,1800
2021-08-10,Rockaway Beach,37700
2023-07-29,Midland Beach,2550
2023-09-08,South Beach,275
2024-08-21,Cedar Grove Beach,160
2019-09-05,Rockaway Beach,7000
2020-06-19,South Beach,1253
2020-07-25,Midland Beach,4300
2021-08-18,Cedar Grove Beach,85
2023-09-07,Manhattan Beach,900
2024-08-13,Rockaway Beach,19000
2024-09-04,Wolfe's Pond Beach,0
2017-07-22,Midland Beach,17000
2018-07-15,South Beach,10800
2019-05-30,Orchard Beach,560
2020-07-12,Rockaway Beach,160000
2020-09-03,Manhattan Beach,1300
2022-06-30,Midland Beach,1850
2023-07-24,Cedar Grove Beach,155
2024-08-02,Coney Island Beach,11000
2017-06-24,Orchard Beach,20150
2019-06-27,Midland Beach,7300
2020-07-20,Cedar Grove Beach,170
2021-07-18,South Beach,6100
2022-08-09,Manhattan Beach,800
2023-07-16,Rockaway Beach,4500
2024-06-04,Midland Beach,475
2018-06-06,Wolfe's Pond Beach,55
2019-07-28,Midland Beach,12500
2020-08-22,South Beach,6750
2021-06-06,Orchard Beach,75000
2022-06-15,Coney Island Beach,6110
2024-07-05,Midland Beach,870
2024-08-06,Rockaway Beach,6750
2024-08-28,Wolfe's Pond Beach,175
2018-07-23,Orchard Beach,200
2019-06-12,Coney Island Beach,7000
2021-07-02,Midland Beach,276
2022-09-01,Rockaway Beach,53000
2023-08-05,Manhattan Beach,5500
2024-06-09,Orchard Beach,43000
2017-08-19,Midland Beach,5600
2022-07-05,Orchard Beach,6200
2022-08-21,Cedar Grove Beach,320
2023-07-09,Rockaway Beach,61500
2023-06-07,Midland Beach,140
2017-07-30,Wolfe's Pond Beach,110
2019-08-21,Orchard Beach,1000
2020-06-03,Midland Beach,500
2020-07-30,Orchard Beach,3651
2021-08-03,Rockaway Beach,35500
2021-08-27,Manhattan Beach,1200
2024-07-26,Cedar Grove Beach,350
2018-06-26,South Beach,1600
2018-08-24,Manhattan Beach,1000
2019-09-03,Coney Island Beach,4000
2021-06-12,Wolfe's Pond Beach,1300
2021-07-23,Cedar Grove Beach,150
2023-08-03,Orchard Beach,9500
2024-06-11,Manhattan Beach,575
2017-09-09,Cedar Grove Beach,0
2019-06-16,Rockaway Beach,20000
2019-07-08,Wolfe's Pond Beach,90
2020-07-29,Manhattan Beach,950
2021-06-29,South Beach,5300
2021-08-08,Coney Island Beach,46500
2021-08-28,Orchard Beach,5300
2023-08-29,Midland Beach,658
2023-06-28,Cedar Grove Beach,238
2024-06-15,Wolfe's Pond Beach,3800
2017-07-26,Manhattan Beach,1320
2018-08-05,Coney Island Beach,107000
2019-07-25,South Beach,1900
2019-08-15,Cedar Grove Beach,185
2020-08-25,Midland Beach,725
2022-07-04,Manhattan Beach,19500
2022-07-11,Wolfe's Pond Beach,165
2023-07-14,Coney Island Beach,52000
2024-08-31,Orchard Beach,12500
2017-08-19,South Beach,5600
2019-07-01,Manhattan Beach,1000
2020-07-10,Coney Island Beach,250
2020-08-05,Wolfe's Pond Beach,300
2022-05-30,Cedar Grove Beach,670
2022-07-31,Midland Beach,2600
2018-07-17,Cedar Grove Beach,150
2018-08-09,Rockaway Beach,9000
2018-08-31,Wolfe's Pond Beach,70
2021-06-05,Manhattan Beach,2600
2021-09-11,South Beach,10475
2023-08-09,Wolfe's Pond Beach,157
2024-05-27,Rockaway Beach,8500
2018-06-02,Manhattan Beach,800
2020-06-21,Cedar Grove Beach,350
2021-08-12,Rockaway Beach,34000
2021-09-03,Wolfe's Pond Beach,175
2021-09-11,Midland Beach,8250
2024-08-14,Coney Island Beach,21750
2017-05-28,South Beach,1500
2017-06-18,Cedar Grove Beach,95
2017-07-11,Rockaway Beach,19500
2022-06-19,Rockaway Beach,100000
2023-08-17,Midland Beach,378
2023-08-20,South Beach,1850
2019-06-11,Orchard Beach,125
2020-05-31,South Beach,4100
2020-07-14,Rockaway Beach,10800
2020-08-13,Midland Beach,350
2022-09-06,Coney Island Beach,30
2017-07-06,Orchard Beach,280
2024-08-21,Manhattan Beach,475
2024-06-01,Coney Island Beach,16500
2018-06-18,Wolfe's Pond Beach,50
2018-06-26,Midland Beach,1300
2021-05-29,Coney Island Beach,110
2021-06-18,Orchard Beach,9500
2021-08-18,Manhattan Beach,500
2022-07-19,South Beach,1305
2023-05-29,South Beach,1062
2023-09-07,Cedar Grove Beach,0
2024-08-18,Rockaway Beach,5500
2017-07-16,Coney Island Beach,18000
2018-08-04,Orchard Beach,2025
2019-09-07,Rockaway Beach,17500
2020-09-03,Cedar Grove Beach,240
2023-07-24,Manhattan Beach,1900
2024-06-21,Orchard Beach,9500
2017-05-28,Midland Beach,1200
2019-07-17,Wolfe's Pond Beach,1100
2022-07-17,Orchard Beach,25025
2022-08-09,Cedar Grove Beach,305
2023-07-21,Rockaway Beach,6200
2024-06-26,South Beach,700
2019-08-06,Cedar Grove Beach,95
2019-09-02,Orchard Beach,450
2019-09-05,Wolfe's Pond Beach,0
2020-05-31,Manhattan Beach,1500
2020-06-23,Rockaway Beach,8900
2021-08-20,Coney Island Beach,27000
2024-07-14,Cedar Grove Beach,335
2017-06-18,South Beach,3300
2017-09-08,Rockaway Beach,18000
2021-07-11,Cedar Grove Beach,60
2023-08-15,Orchard Beach,350
2023-07-26,Coney Island Beach,52500
2023-06-27,Rockaway Beach,2450
2023-09-10,South Beach,775
2023-07-19,Wolfe's Pond Beach,87
2017-08-28,Cedar Grove Beach,5
2018-06-23,Manhattan Beach,270
2018-07-16,Rockaway Beach,56500
2020-07-22,Coney Island Beach,7500
2021-09-09,Orchard Beach,250
2023-06-16,Cedar Grove Beach,32
2024-09-05,Midland Beach,600
2020-06-12,Cedar Grove Beach,135
2022-05-29,Rockaway Beach,65000
2022-06-27,Coney Island Beach,875
2024-08-16,Wolfe's Pond Beach,450
2017-08-10,Midland Beach,2400
2017-08-31,South Beach,1300
2018-06-04,Coney Island Beach,70500
2022-07-19,Midland Beach,1085
2022-08-20,Rockaway Beach,163000
2022-08-09,South Beach,1400
2023-06-19,South Beach,1902
2018-07-05,Cedar Grove Beach,100
2019-07-16,Midland Beach,1150
2020-05-29,Orchard Beach,256
2020-09-03,South Beach,2050
2024-06-23,Midland Beach,2700
2017-07-15,Orchard Beach,101348
2018-05-28,Wolfe's Pond Beach,690
2021-06-20,Midland Beach,7030
2021-07-22,Rockaway Beach,38100
2021-09-08,Manhattan Beach,350
2017-06-06,Cedar Grove Beach,15
2018-06-17,Midland Beach,9000
2019-08-17,Rockaway Beach,42500
2021-05-31,Wolfe's Pond Beach,805
2021-06-27,Orchard Beach,25300
2023-08-14,Manhattan Beach,2100
2024-08-23,Coney Island Beach,12500
2024-07-25,Rockaway Beach,9500
2019-06-04,Rockaway Beach,7700
2019-06-23,Orchard Beach,69300
2019-06-26,Wolfe's Pond Beach,395
2020-06-12,South Beach,1417
2020-08-01,Midland Beach,5000
2020-08-10,Manhattan Beach,1200
2021-06-10,Coney Island Beach,12000
2017-06-29,Rockaway Beach,50400
2017-07-21,Wolfe's Pond Beach,200
2017-07-28,Coney Island Beach,5000
2017-07-29,Midland Beach,3200
2017-08-07,Manhattan Beach,550
2018-07-08,South Beach,9600
2022-06-29,Wolfe's Pond Beach,80
2022-07-16,Manhattan Beach,4500
2022-07-07,Midland Beach,300
2023-06-05,Orchard Beach,4000
2019-07-03,Coney Island Beach,11500
2019-07-04,Midland Beach,8000
2019-07-13,Manhattan Beach,6300
2020-07-24,Wolfe's Pond Beach,65
2020-08-20,Orchard Beach,4132
2021-07-11,South Beach,3700
2023-08-26,Cedar Grove Beach,343
2024-06-20,Manhattan Beach,1650
2018-08-16,Orchard Beach,4150
2018-08-19,Wolfe's Pond Beach,60
2019-08-06,South Beach,6200
2020-08-22,Cedar Grove Beach,525
2021-06-08,Midland Beach,900
2021-06-17,Manhattan Beach,950
2024-07-03,Orchard Beach,17000
2017-08-19,Cedar Grove Beach,350
2018-06-14,Manhattan Beach,1500
2021-08-22,Wolfe's Pond Beach,0
2022-06-10,Rockaway Beach,20400
2022-07-28,Cedar Grove Beach,146
2023-08-07,Coney Island Beach,4610
2023-08-08,Midland Beach,780
2024-07-08,South Beach,2089
2019-07-25,Cedar Grove Beach,280
2019-08-26,Rockaway Beach,10750
2020-07-02,Rockaway Beach,64500
2021-06-29,Cedar Grove Beach,600
2021-08-30,Midland Beach,910
2022-07-09,Coney Island Beach,100890
2023-08-27,Orchard Beach,45600
2018-06-26,Cedar Grove Beach,125
2018-07-28,Rockaway Beach,75500
2018-08-26,Coney Island Beach,100000
2018-08-27,Midland Beach,1950
2023-09-01,South Beach,980
2023-06-04,Cedar Grove Beach,119
2024-09-02,Manhattan Beach,800
2024-06-13,Coney Island Beach,5050
2024-06-14,Midland Beach,750
2017-07-02,Manhattan Beach,4000
2018-06-03,Orchard Beach,1200
2018-07-29,South Beach,11500
2021-08-21,Midland Beach,2450
2021-08-25,Cedar Grove Beach,290
2022-07-13,Rockaway Beach,14500
2022-08-04,Wolfe's Pond Beach,155
2018-08-22,Cedar Grove Beach,80
2019-06-07,Manhattan Beach,600
